コード,銘柄名,市場,株価(円),時価総額(億円)
6594,ニデック,東Ｐ,2590,31078.35
2702,日本マクドナルドH,東Ｓ,8110,10876.13
4816,東映アニメーション,東Ｓ,3050,6331.5
4088,エア・ウォーター,東Ｐ・札証,2481,5746.17
7564,ワークマン,東Ｓ,6300,5148.16
141A,トライアルHLD,東Ｇ,3950,4834.08
6890,フェローテック,東Ｓ,8910,4779.84
6960,フクダ電子,東Ｓ,11950,4469.28
3350,メタプラネット,東Ｓ,310,4228.24
9436,沖縄セルラー電話,東Ｓ,4100,3747.51
7806,MTG,東Ｇ,9090,3610.22
4966,上村工業,東Ｓ,19350,3523.88
2782,セリア,東Ｓ,4395,3363.5
581A,GO,東Ｇ,3835,3154.92
8066,三谷商事,東Ｓ,3440,3030.3
7716,ナカニシ,東Ｓ,3260,2955.59
7906,ヨネックス,東Ｓ,2772,2659.82
6834,精工技研,東Ｓ,25330,2505.15
6777,santecHLD,東Ｓ,18680,2338.4
4478,フリー,東Ｇ,3815,2316.53
485A,パワーエックス,東Ｇ,1790,2234.55
4107,伊勢化学工業,東Ｓ,4060,2059.19
7685,BuySell,東Ｇ,3270,2042.5
6736,サン電子,東Ｓ,8080,2019.05
7485,岡谷鋼機,名Ｐ,5080,1971.22
290A,シンスペクティブ,東Ｇ,1494,1899.65
6366,千代田化工建設,東Ｓ,714,1869.13
319A,技術承継機構,東Ｇ,19030,1860.31
2805,ヱスビー食品,東Ｓ,7010,1833.55
2160,GNIグループ,東Ｇ,2761,1794.18
215A,タイミー,東Ｇ,1714,1702.56
186A,アストロスケールH,東Ｇ,1130,1609.21
456A,ヒューマンメイド,東Ｇ,1678,1577.58
7287,日本精機,東Ｓ,2710,1516.75
9166,GENDA,東Ｇ,776,1448.84
4628,エスケー化研,東Ｓ,9180,1426.32
1723,日本電技,東Ｓ,2302,1415.87
7177,GMOFHLD,東Ｓ,1172,1404.06
1965,テクノ菱和,東Ｓ,6900,1388.35
278A,テラドローン,東Ｇ,17050,1380.81
446A,ノースサンド,東Ｇ,1975,1351.02
5161,西川ゴム工業,東Ｓ,3690,1339.4
8117,中央自動車工業,東Ｓ,2315,1303.3
6524,湖北工業,東Ｓ,5080,1300
6227,AIメカテック,東Ｓ,6210,1270.42
1407,ウエストHLD,東Ｓ,2721,1225.25
9708,帝国ホテル,東Ｓ,997,1183.25
4588,オンコリスバイオF,東Ｇ,4020,1180.12
2588,プレミアムウォタH,東Ｓ,3795,1178.85
8508,Jトラスト,東Ｓ,804,1100.17
5842,インテグラル,東Ｇ,2987,1089.47
4293,セプテーニHLD,東Ｓ,513,1076.08
2928,RIZAPグループ,札ア,176,1068.03
1909,日本ドライケミカル,東Ｓ,3705,1064.34
5253,カバー,東Ｇ,1703,1064.19
8198,マックスバリュ東海,東Ｓ,3315,1043.95
6613,QDレーザ,東Ｇ,2373,1029.82
1948,弘電社,東Ｓ,11420,1024.37
464A,QPSHLD,東Ｇ,1836,998.37
6627,テラプローブ,東Ｓ,10930,997.87
2653,イオン九州,東Ｓ,2841,987.88
6946,日本アビオニクス,東Ｓ,5750,975.71
4970,東洋合成工業,東Ｓ,12020,964.99
7279,ハイレックスコーポ,東Ｓ,2580,956.95
4365,松本油脂製薬,東Ｓ,21460,940.44
593A,ティアフォー,東Ｇ,1328,883.62
6016,ジャパンエンジン,東Ｓ,10310,859.32
2208,ブルボン,東Ｓ,3050,846.24
6623,愛知電機,名Ｐ,8850,843.6
5982,マルゼン,東Ｓ,4160,823.84
3449,テクノフレックス,東Ｓ,3820,820.22
6023,ダイハツインフィニ,東Ｓ,2992,818.31
7292,村上開明堂,東Ｓ,6850,815.54
9357,名港海運,名Ｍ,2455,811.95
6226,守谷輸送機工業,東Ｓ,2217,806.83
3479,TKP,東Ｇ,1894,804.25
4592,サンバイオ,東Ｇ,998,794.64
4464,ソフト99コーポ,東Ｓ,3550,792.98
3399,丸千代山岡家,東Ｓ,3960,784.4
7412,アトム,東Ｓ・名Ｍ,376,741.33
166A,タスキHLD,東Ｐ,1200,739.59
4259,エクサウィザーズ,東Ｇ,754,727.54
2393,日本ケアサプライ,東Ｓ,4350,716.89
4419,FinatextH,東Ｇ,1448,704.78
9733,ナガセ,東Ｓ,2349,703.89
2329,東北新社,東Ｓ・名Ｍ,506,703.83
255A,ジーエルテクノHD,東Ｓ,5200,703.22
4417,GセキュリティE,東Ｇ,4575,696.59
2705,大戸屋HLD,東Ｓ,9370,689.71
3891,ニッポン高度紙工業,東Ｓ,6310,687.91
1799,第一建設工業,東Ｓ,3385,686.24
3733,ソフトウェアサービ,東Ｓ,12560,681.06
4431,スマレジ,東Ｇ,3430,672.54
5290,ベルテクスコーポ,東Ｓ,1182,652.84
2938,オカムラ食品工業,東Ｓ,1298,651.53
6993,大黒屋HLD,東Ｓ,87,651.11
1921,巴コーポレーション,東Ｓ・札証,1924,649.3
2986,LAHLD,東Ｇ・名Ｐ・福証・札証,2847,649.1
4619,日本特殊塗料,東Ｓ,2712,644.59
2790,ナフコ,東Ｓ,2165,644.24
3491,GAテクノロジーズ,東Ｇ,1582,643.72
2902,太陽化学,名Ｍ,2685,633.69
9348,ispace,東Ｇ,427,626.21
4832,JFEシステムズ,東Ｓ,1986,622.27
247A,Aiロボティクス,東Ｇ,948,607.74
9028,ゼロ,東Ｓ,3470,607.58
6574,コンヴァノ,東Ｇ,112,605.9
5184,ニチリン,東Ｓ,4140,595.7
6425,ユニバーサルエンタ,東Ｓ,722,585.42
1811,錢高組,東Ｓ・名Ｍ,7950,580.16
1793,大本組,東Ｓ,2148,572.86
2780,コメ兵HLD,東Ｓ・名Ｍ,5130,568.48
6637,寺崎電気産業,東Ｓ,4295,566.15
9823,マミーマートHLD,東Ｓ,1037,561.97
4972,綜研化学,東Ｓ,3355,561.32
299A,クラシル,東Ｇ,1280,557.47
7803,ブシロード,東Ｇ,402,555.84
2573,北海道コカ・コーラ,東Ｓ・札証,4030,547.04
219A,ハートシード,東Ｇ,2322,546.01
9639,三協フロンテア,東Ｓ,2333,545.15
9661,歌舞伎座,東Ｓ,4440,543.39
6824,新コスモス電機,東Ｓ,4315,542.01
2751,テンポスHLD,東Ｓ,3790,540.38
197A,タウンズ,東Ｓ,503,535.59
287A,黒田グループ,東Ｓ,1201,532.63
3864,三菱製紙,東Ｐ,1195,528.84
5304,SECカーボン,東Ｓ,2557,526.88
7326,SBIインシュアG,東Ｇ,2111,522.97
2226,湖池屋,東Ｓ,4880,519.1
1869,名工建設,名Ｍ,1932,519.01
3905,データセクション,東Ｇ,1527,516.76
6231,木村工機,東Ｓ,13370,509.61
6357,三精テクノロジーズ,東Ｓ,2739,507.47
2612,かどや製油,東Ｓ,1785,506.19
1967,ヤマト,東Ｓ,2087,504.75
2216,カンロ,東Ｓ,1085,504.04
7779,サイバーダイン,東Ｇ,232,501.29
4475,HENNGE,東Ｇ,1535,500.18
1847,イチケン,東Ｓ,3460,499.71
8914,エリアリンク,東Ｓ,956,499.52
5243,note,東Ｇ,2695,494.12
5027,AnyMind G,東Ｇ,777,481.38
147A,ソラコム,東Ｇ,1028,475.24
7777,3-Dマトリックス,東Ｇ,356,468.41
4094,日本化学産業,東Ｓ,2285,466.24
8699,HSホールディング,東Ｓ,1143,464.82
